X,ID,Accepted.Symbol,Symbol,Scientific.Name,Common.Name,Genus,Family,Family.Common.Name,Duration,Growth.Habit,Native.Status,Invasive,FunGrp1,FunGrp2,FunGrp,Updated
5091,6847,LOTUS,LOTUS,Lotus,trefoil,Lotus,Fabaceae,Pea family,,,,,NA,NA,Legumes,
5100,6915,LOUN,LOUN,Lotus unifoliolatus,American bird's-foot trefoil,Lotus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
5097,6916,LOUNU,LOUNU,Lotus unifoliolatus var. unifoliolatus,American bird's-foot trefoil,Lotus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
4797,6917,LOWR2,LOWR2,Lotus wrangelianus,Chilean bird's-foot trefoil,Lotus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5153,6918,LOYO,LOYO,Lotus yollabolliensis,Yolla Bolly bird's-foot trefoil,Lotus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5166,6934,LUAB,LUAB,Lupinus abramsii,Abrams' lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4990,6935,LUAD,LUAD,Lupinus adsurgens,Drew's silky lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5054,6936,LUADA,LUADA,Lupinus adsurgens var. adsurgens,Drew's silky lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5059,6937,LUADL,LUADL,Lupinus adsurgens var. lilacinus,Drew's silky lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5356,6938,LUADU,LUADU,Lupinus adsurgens var. undulatus,Drew's silky lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5383,6939,LUAF,LUAF,Lupinus affinis,fleshy lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5391,6940,LUAG,LUAG,Lupinus agardhianus,Agardh lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5229,6941,LUAL3,LUAL3,Lupinus albicaulis,sicklekeel lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5247,6944,LUAL4,LUAL4,Lupinus albifrons,silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5276,6950,LUAL5,LUAL5,Lupinus ×alpestris,Great Basin lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5294,6942,LUALA,LUALA,Lupinus albicaulis var. albicaulis,sicklekeel lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5296,6945,LUALA2,LUALA2,Lupinus albifrons var. albifrons,silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5249,6946,LUALC,LUALC,Lupinus albifrons var. collinus,silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5263,6947,LUALD,LUALD,Lupinus albifrons var. douglasii,Douglas' silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5062,6948,LUALE,LUALE,Lupinus albifrons var. eminens,silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4785,6949,LUALF,LUALF,Lupinus albifrons var. flumineus,silver lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4786,6943,LUALS,LUALS,Lupinus albicaulis var. shastensis,Shasta lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4823,6951,LUAN2,LUAN2,Lupinus andersonii,Anderson's lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4816,6952,LUAN3,LUAN3,Lupinus angustiflorus,narrowflower lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4824,6953,LUAN5,LUAN5,Lupinus antoninus,Anthony Peak lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4946,6954,LUAP,LUAP,Lupinus apertus,summit lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4937,6955,LUAR,LUAR,Lupinus arboreus,yellow bush lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub","L48 (N), CAN (I)",Cal-IPC,Perennial,Shrubs&Trees,Legumes,
4927,6961,LUAR3,LUAR3,Lupinus argenteus,silvery lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
4896,6967,LUAR4,LUAR4,Lupinus arizonicus,Arizona lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4897,6956,LUAR6,LUAR6,Lupinus arbustus,longspur lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
4909,6965,LUAR7,LUAR7,Lupinus aridus,desert lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4960,6963,LUARA11,LUARA11,Lupinus argenteus ssp. argenteus var. argenteus,silvery lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4959,6957,LUARA3,LUARA3,Lupinus arbustus ssp. arbustus,longspur lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4955,6962,LUARA5,LUARA5,Lupinus argenteus ssp. argenteus,silvery lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
4953,6966,LUARA6,LUARA6,Lupinus aridus ssp. aridus,desert lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4979,6968,LUARA7,LUARA7,Lupinus arizonicus ssp. arizonicus,Arizona lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4939,6969,LUARB2,LUARB2,Lupinus arizonicus ssp. arizonicus var. barbatulus,Arizona lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4842,6959,LUARC,LUARC,Lupinus arbustus ssp. calcaratus,longspur lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4812,6964,LUARL5,LUARL5,Lupinus argenteus ssp. argenteus var. laxiflorus,silvery lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
4789,6958,LUARM4,LUARM4,Lupinus arbustus ssp. arbustus var. montanus,longspur lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4787,6960,LUARS,LUARS,Lupinus arbustus ssp. silvicola,longspur lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4763,6970,LUARS4,LUARS4,Lupinus arizonicus ssp. setosissimus,Arizona lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4813,6971,LUBE,LUBE,Lupinus benthamii,spider lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4710,6972,LUBEB,LUBEB,Lupinus benthamii var. benthamii,spider lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4932,6973,LUBEO,LUBEO,Lupinus benthamii var. opimus,spider lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4936,6974,LUBI,LUBI,Lupinus bicolor,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
4940,6975,LUBIB,LUBIB,Lupinus bicolor ssp. bicolor,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
4941,6976,LUBIM,LUBIM,Lupinus bicolor ssp. marginatus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4915,6977,LUBIM2,LUBIM2,Lupinus bicolor ssp. microphyllus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4925,6978,LUBIP,LUBIP,Lupinus bicolor ssp. pipersmithii,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4949,6980,LUBIR,LUBIR,Lupinus bicolor ssp. tridentatus var. rostratus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4968,6979,LUBIT,LUBIT,Lupinus bicolor ssp. tridentatus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4970,6981,LUBIT3,LUBIT3,Lupinus bicolor ssp. tridentatus var. tridentatus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4967,6983,LUBIT6,LUBIT6,Lupinus bicolor ssp. umbellatus var. trifidus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4975,6982,LUBIU,LUBIU,Lupinus bicolor ssp. umbellatus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4862,6984,LUBIU2,LUBIU2,Lupinus bicolor ssp. umbellatus var. umbellatus,miniature lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4853,6985,LUBR2,LUBR2,Lupinus brevicaulis,shortstem lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4838,6987,LUBR3,LUBR3,Lupinus breweri,Brewer's lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4841,6986,LUBR4,LUBR4,Lupinus brevior,short lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4902,6989,LUBRB,LUBRB,Lupinus breweri var. bryoides,matted lupine,Lupinus,Fabaceae,Pea family,Perennial,"Forb/herb, Subshrub",L48 (N),,Perennial,Forb,Legumes,
4889,6988,LUBRB2,LUBRB2,Lupinus breweri var. breweri,Brewer's lupine,Lupinus,Fabaceae,Pea family,Perennial,"Forb/herb, Subshrub",L48 (N),,Perennial,Forb,Legumes,
4887,6990,LUBRG,LUBRG,Lupinus breweri var. grandiflorus,matted lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4886,6991,LUBRP,LUBRP,Lupinus breweri var. parvulus,matted lupine,Lupinus,Fabaceae,Pea family,Perennial,"Forb/herb, Subshrub",L48 (N),,Perennial,Forb,Legumes,
4884,6994,LUCA,LUCA,Lupinus caudatus,tailcup lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4872,6992,LUCA3,LUCA3,Lupinus caespitosus,stemless dwarf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4906,6995,LUCAC3,LUCAC3,Lupinus caudatus ssp. caudatus,tailcup lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4891,6996,LUCAM,LUCAM,Lupinus caudatus ssp. montigenus,Kellogg's spurred lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4870,6993,LUCAU,LUCAU,Lupinus caespitosus var. utahensis,Utah lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4848,6997,LUCE,LUCE,Lupinus cervinus,Santa Lucia lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4843,6998,LUCH,LUCH,Lupinus chamissonis,Chamisso bush lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4943,6999,LUCI,LUCI,Lupinus citrinus,orangeflower lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4929,7000,LUCIC,LUCIC,Lupinus citrinus var. citrinus,orangeflower lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4931,7001,LUCID,LUCID,Lupinus citrinus var. deflexus,orangeflower lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4730,7002,LUCO,LUCO,Lupinus concinnus,bajada lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4752,7006,LUCO2,LUCO2,Lupinus confertus,crowded lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4726,7007,LUCO3,LUCO3,Lupinus congdonii,Congdon's lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4725,7009,LUCO4,LUCO4,Lupinus covillei,shaggy lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4801,7008,LUCO7,LUCO7,Lupinus constancei,lassicus lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4826,7003,LUCOC,LUCOC,Lupinus concinnus ssp. concinnus,bajada lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4807,7004,LUCOO,LUCOO,Lupinus concinnus ssp. optatus,bajada lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4829,7005,LUCOO2,LUCOO2,Lupinus concinnus ssp. orcuttii,Orcutt's lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
4828,7010,LUCR,LUCR,Lupinus croceus,saffron-flowered lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4834,7011,LUCRC,LUCRC,Lupinus croceus var. croceus,saffron-flowered lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4820,7012,LUCRP,LUCRP,Lupinus croceus var. pilosellus,saffron-flowered lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4818,7013,LUCU,LUCU,Lupinus culbertsonii,Hoskett Meadows lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4805,7014,LUCUC,LUCUC,Lupinus culbertsonii ssp. culbertsonii,Hoskett Meadows lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4793,7015,LUCUH,LUCUH,Lupinus culbertsonii ssp. hypolasius,Hoskett Meadows lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4779,7016,LUCY2,LUCY2,Lupinus ×cymba-egressus,lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
4780,7017,LUDA,LUDA,Lupinus dalesiae,Quincy lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5272,7018,LUDE2,LUDE2,Lupinus densiflorus,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
5301,7019,LUDEA,LUDEA,Lupinus densiflorus var. aureus,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5212,7020,LUDEA2,LUDEA2,Lupinus densiflorus var. austrocollium,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5203,7021,LUDED,LUDED,Lupinus densiflorus var. densiflorus,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,"L48 (N), CAN (N)",,Annual,Forb,Legumes,
5199,7022,LUDEG,LUDEG,Lupinus densiflorus var. glareosus,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5236,7023,LUDEL,LUDEL,Lupinus densiflorus var. lacteus,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5209,7024,LUDEP,LUDEP,Lupinus densiflorus var. palustris,whitewhorl lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5366,7025,LUDU,LUDU,Lupinus duranii,Mono Lake lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5394,7026,LUEL,LUEL,Lupinus elatus,tall silky lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5379,7027,LUEL2,LUEL2,Lupinus elmeri,Elmer's lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5387,7028,LUEX,LUEX,Lupinus excubitus,grape soda lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5386,7034,LUEX2,LUEX2,Lupinus eximius,San Mateo tree lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5339,7029,LUEXA,LUEXA,Lupinus excubitus var. austromontanus,mountain bush lupine,Lupinus,Fabaceae,Pea family,Perennial,Subshrub,L48 (N),,Perennial,Shrubs&Trees,Legumes,
5072,7030,LUEXE,LUEXE,Lupinus excubitus var. excubitus,grape soda lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
4995,7031,LUEXH,LUEXH,Lupinus excubitus var. hallii,Hall's bush lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5192,7032,LUEXJ,LUEXJ,Lupinus excubitus var. johnstonii,interior bush lupine,Lupinus,Fabaceae,Pea family,Perennial,Subshrub,L48 (N),,Perennial,Shrubs&Trees,Legumes,
5178,7033,LUEXM,LUEXM,Lupinus excubitus var. medius,Mountain Springs bush lupine,Lupinus,Fabaceae,Pea family,Perennial,Subshrub,L48 (N),,Perennial,Shrubs&Trees,Legumes,
5127,7035,LUFL,LUFL,Lupinus flavoculatus,yelloweyes,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5118,7036,LUFO2,LUFO2,Lupinus formosus,summer lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5119,7037,LUFOF,LUFOF,Lupinus formosus var. formosus,summer lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5120,7038,LUFOR,LUFOR,Lupinus formosus var. robustus,summer lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5123,7039,LUFU,LUFU,Lupinus fulcratus,greenstipule lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5124,7040,LUGR,LUGR,Lupinus gracilentus,green slender lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5125,7041,LUGR2,LUGR2,Lupinus grayi,Sierra lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5126,7042,LUGU,LUGU,Lupinus guadalupensis,Guadalupe Island lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5132,7043,LUHI3,LUHI3,Lupinus hirsutissimus,stinging annual lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5133,7044,LUHO,LUHO,Lupinus holmgrenianus,Holmgren's lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5134,7045,LUHO3,LUHO3,Lupinus horizontalis,sunset lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5135,7046,LUHOH,LUHOH,Lupinus horizontalis var. horizontalis,sunset lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5136,7047,LUHOP,LUHOP,Lupinus horizontalis var. platypetalus,sunset lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5137,7048,LUHY3,LUHY3,Lupinus hyacinthinus,San Jacinto lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5138,7049,LUIN,LUIN,Lupinus ×inyoensis,Inyo lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5141,7050,LULA,LULA,Lupinus lapidicola,Mt. Eddy lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5104,7051,LULA4,LULA4,Lupinus latifolius,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5102,7057,LULAB,LULAB,Lupinus latifolius ssp. viridifolius var. barbatus,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5128,7052,LULAD,LULAD,Lupinus latifolius ssp. dudleyi,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5093,7054,LULAL2,LULAL2,Lupinus latifolius ssp. longipes,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5094,7053,LULAL3,LULAL3,Lupinus latifolius ssp. latifolius,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5095,7055,LULAP2,LULAP2,Lupinus latifolius ssp. parishii,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5098,7056,LULAV,LULAV,Lupinus latifolius ssp. viridifolius,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5101,7058,LULAV2,LULAV2,Lupinus latifolius ssp. viridifolius var. viridifolius,broadleaf lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5116,7059,LULE3,LULE3,Lupinus leucophyllus,velvet lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Perennial,Forb,Legumes,
5103,7061,LULEB2,LULEB2,Lupinus leucophyllus ssp. leucophyllus var. belliae,velvet lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5106,7062,LULEC9,LULEC9,Lupinus leucophyllus ssp. leucophyllus var. canescens,velvet lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Perennial,Forb,Legumes,
5107,7063,LULEL2,LULEL2,Lupinus leucophyllus ssp. leucophyllus var. leucophyllus,velvet lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Perennial,Forb,Legumes,
5108,7060,LULEL4,LULEL4,Lupinus leucophyllus ssp. leucophyllus,velvet lupine,Lupinus,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Perennial,Forb,Legumes,
5109,7064,LULI2,LULI2,Lupinus littoralis,seashore lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
5110,7065,LULO,LULO,Lupinus longifolius,longleaf bush lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Shrub",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5113,7066,LULU,LULU,Lupinus ludovicianus,San Luis lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5114,7067,LULU2,LULU2,Lupinus luteolus,pale yellow lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,L48 (N),,Annual,Forb,Legumes,
5115,7068,LULY,LULY,Lupinus lyallii,dwarf mountain lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
5194,7070,LULYD2,LULYD2,Lupinus lyallii ssp. lyallii var. danaus,dwarf mountain lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,Perennial,Shrubs&Trees,Legumes,
5130,7069,LULYL,LULYL,Lupinus lyallii ssp. lyallii,dwarf mountain lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
5171,7071,LULYL2,LULYL2,Lupinus lyallii ssp. lyallii var. lyallii,dwarf mountain lupine,Lupinus,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Perennial,Shrubs&Trees,Legumes,
