Date,Daily Max Temp (°F),Daily Min Temp (°F),Daily Rain (In)
5/23/2022,61.8,46.6,0
5/22/2022,64.3,41,0
5/21/2022,64,43.6,0
5/20/2022,64.3,44.6,0
5/19/2022,60.8,48.5,0
5/18/2022,69.1,45.5,0
5/17/2022,59.4,47.4,0
5/16/2022,54.7,48.1,0.03
5/15/2022,58.7,47.6,0
5/14/2022,62.9,46.8,0
5/13/2022,66.7,48.2,0
5/12/2022,59,45.9,0
5/11/2022,57,44.2,0
5/10/2022,56.5,40.5,0
5/9/2022,57.6,42.1,0
5/8/2022,55.8,44.5,0.01
5/7/2022,57.2,46.4,0.01
5/6/2022,66.1,51.9,0.02
5/5/2022,64,44.6,0
5/4/2022,61.9,42.4,0
5/3/2022,66.8,44.6,0
5/2/2022,57.2,43.2,0
5/1/2022,58.4,47.4,0
4/30/2022,59.2,47.2,0
4/29/2022,59.9,42,0
4/28/2022,56.4,45.6,0
4/27/2022,55.9,44.6,0
4/26/2022,57,46.5,0
4/25/2022,60.9,45.3,0
4/24/2022,59.1,46.9,0
4/23/2022,61,46.2,0
4/22/2022,57.4,46,0.12
4/21/2022,60.9,50,0.02
4/20/2022,63.9,43.3,0.29
4/19/2022,61.9,44.1,0.1
4/18/2022,66.8,37.2,0
4/17/2022,54.2,39.4,0
4/16/2022,53.6,41.5,0.52
4/15/2022,58.9,43.5,0.02
4/14/2022,56.8,47.9,0.32
4/13/2022,56.1,41.2,0
4/12/2022,52.4,41.4,0
4/11/2022,50.5,43.3,0.2
4/10/2022,56.6,44.8,0
4/9/2022,57.3,43.1,0
4/8/2022,65.4,46.3,0
4/7/2022,83.8,55.7,0
4/6/2022,82.7,45.6,0
4/5/2022,58,46.2,0
4/4/2022,59.9,47.1,0
4/3/2022,56.6,43.8,0
4/2/2022,64,43,0
4/1/2022,58,41.7,0
3/31/2022,56.5,42.5,0
3/30/2022,53.2,45.5,0.04
3/29/2022,51,46.8,0.06
3/28/2022,59.3,46.8,0.04
3/27/2022,57.8,44,0.59
3/26/2022,64.2,44.8,0
3/25/2022,55.6,42.6,0
3/24/2022,60.1,41.6,0
3/23/2022,57.6,44.6,0
3/22/2022,73.9,47.2,0
3/21/2022,59,44.9,0
3/20/2022,55.4,42.8,0
3/19/2022,53.6,45,0.23
3/18/2022,58.8,43.1,0
3/17/2022,57.1,44.2,0
3/16/2022,56.7,44.4,0
3/15/2022,63.6,47.5,0.11
3/14/2022,66.3,37.3,0
3/13/2022,60.7,45.8,0.03
3/12/2022,59,40.5,0
3/11/2022,62.4,42.6,0
3/10/2022,62.1,41.7,0
3/9/2022,55.6,41.9,0
3/8/2022,67.8,47.1,0
3/7/2022,63.6,34.9,0
3/6/2022,53.6,40.7,0
3/5/2022,52.6,43.6,0.01
3/4/2022,51.6,41.9,0.17
3/3/2022,55.6,44.8,0.12
3/2/2022,66.7,45.6,0
3/1/2022,67.5,44.6,0
2/28/2022,70,45,0
2/27/2022,64.2,44.1,0
2/26/2022,58.5,36.8,0
2/25/2022,55.1,30.4,0
2/24/2022,52.3,30.4,0
2/23/2022,51.9,35.4,0
2/22/2022,48.8,35.7,0.09
2/21/2022,51.2,44.6,0.05
2/20/2022,54.7,41,0
2/19/2022,66.9,44.2,0
2/18/2022,61.9,40.1,0
2/17/2022,64.2,44.2,0
2/16/2022,59.4,46.2,0
2/15/2022,54.7,41.6,0
2/14/2022,51.4,44,0.03
2/13/2022,67.3,44.9,0
2/12/2022,76,52.2,0
2/11/2022,77.3,56.2,0
2/10/2022,79.1,56.3,0
2/9/2022,81.6,54.2,0
2/8/2022,74.4,43.4,0
2/7/2022,62,39.8,0
2/6/2022,70.8,45.1,0
2/5/2022,68,40.4,0
2/4/2022,62.4,39.6,0
2/3/2022,61.7,43.4,0
2/2/2022,61.3,48.5,0
2/1/2022,59.1,40.8,0
1/31/2022,56.8,42.7,0
1/30/2022,59.5,38.8,0
1/29/2022,66.6,44,0
1/28/2022,69.6,46.1,0
1/27/2022,65.9,38.9,0
1/26/2022,61.5,39.1,0
1/25/2022,57.2,42,0
1/24/2022,59.6,41.8,0
1/23/2022,62.8,41.8,0
1/22/2022,65.5,45.2,0
1/21/2022,66.3,46.2,0
1/20/2022,64.6,42.2,0
1/19/2022,63.4,41.3,0
1/18/2022,57.9,41.4,0
1/17/2022,62.4,46.9,0
1/16/2022,68.3,50.9,0
1/15/2022,74.2,47.9,0
1/14/2022,66.2,46.8,0
1/13/2022,60.9,45.7,0
1/12/2022,67.6,46.7,0
1/11/2022,65,44.7,0
1/10/2022,70.8,46.5,0
1/9/2022,67.6,40.2,0
1/8/2022,58.2,41.2,0
1/7/2022,54.3,46.1,0.02
1/6/2022,53.7,47.3,0.01
1/5/2022,60.4,45.5,0
1/4/2022,59,49,0.18
1/3/2022,52.7,46.6,0.31
1/2/2022,56.6,35.3,0
1/1/2022,56.1,35.9,0
12/31/2021,49.8,40.1,0
12/30/2021,57.8,40,0
12/29/2021,53.3,43.3,0.51
12/28/2021,50.1,40.4,0.01
12/27/2021,48.4,40.8,0.47
12/26/2021,51.8,40.2,0.12
12/25/2021,52,42.6,0.43
12/24/2021,54,47.1,0.14
12/23/2021,55.6,51.8,0.61
12/22/2021,56.3,48.2,0.25
12/21/2021,62.5,48.1,0.35
12/20/2021,56.8,47.3,0
12/19/2021,52,37.8,0
12/18/2021,54.2,36.6,0
12/17/2021,55.9,37.8,0
12/16/2021,53.5,43.1,0.26
12/15/2021,53,39.9,0.91
12/14/2021,48.9,38.6,0.2
12/13/2021,54.4,42.7,2.74
12/12/2021,54.4,46.9,1.16
12/11/2021,55.2,36.4,0
12/10/2021,57,37.2,0
12/9/2021,52.3,43.5,0.1
12/8/2021,53.8,47.5,0.05
12/7/2021,59.1,47.4,0.07
12/6/2021,54.3,43.7,0
12/5/2021,58.7,42.3,0
12/4/2021,56.2,48.6,0
12/3/2021,58.4,47,0
12/2/2021,66.4,49.3,0
12/1/2021,77.9,52.2,0
11/30/2021,74.1,45.6,0
11/29/2021,66.2,48.4,0
11/28/2021,68.9,53.2,0
11/27/2021,75.2,47.4,0
11/26/2021,66.8,49,0
11/25/2021,69.6,45.2,0
11/24/2021,65.5,49.8,0
11/23/2021,59.7,48.8,0
11/22/2021,74.8,52.5,0
11/21/2021,73.1,46.5,0
11/20/2021,66.3,48.7,0
11/19/2021,59,50,0.01
11/18/2021,57,45.6,0
11/17/2021,62.5,46.6,0
11/16/2021,65.6,49.8,0
11/15/2021,66.5,51.6,0
11/14/2021,80.2,54.5,0
11/13/2021,79.2,51.5,0
11/12/2021,75,53.2,0
11/11/2021,74.6,53.5,0
11/10/2021,66.3,47.1,0
11/9/2021,61.7,50,0.2
11/8/2021,64.9,41.8,0.24
11/7/2021,57.8,47.8,0
11/6/2021,62.5,49.6,0
11/5/2021,63.4,48.6,0
11/4/2021,61.6,49.7,0.15
11/3/2021,70.7,50.3,0.01
11/2/2021,65.9,53.2,0.02
11/1/2021,59.6,55.6,0.22
10/31/2021,64.4,50.1,0
10/30/2021,62.2,49.6,0
10/29/2021,69.8,50.7,0
10/28/2021,79.1,55.2,0
10/27/2021,68.8,51.1,0
10/26/2021,64.7,47.5,0
10/25/2021,61.7,47.9,0.44
10/24/2021,58,52.7,4.43
10/23/2021,65.5,48.6,0.19
10/22/2021,62.3,50.5,0.93
10/21/2021,66.3,58,0.22
10/20/2021,61.2,51.3,0.67
10/19/2021,64.7,41.6,0.03
10/18/2021,59.6,45,0
10/17/2021,71.7,49.2,0.1
10/16/2021,81.8,55.1,0
10/15/2021,76.9,52.8,0
10/14/2021,72.2,46.2,0
10/13/2021,59.9,43.2,0.01
10/12/2021,62.1,45.1,0
10/11/2021,56.5,48.9,0
10/10/2021,66.6,45.5,0
10/9/2021,67.3,49,0
10/8/2021,61.1,51,0
10/7/2021,62.2,50.4,0
10/6/2021,63.9,52,0
10/5/2021,63.9,47.7,0
10/4/2021,73.2,48.7,0
10/3/2021,76.2,53.9,0
10/2/2021,74,49.8,0
10/1/2021,78.6,51.2,0
9/30/2021,81,50.7,0
9/29/2021,68.2,50,0
9/28/2021,64.6,52.7,0
9/27/2021,70.4,53.6,0.04
9/26/2021,64.6,53.6,0
9/25/2021,64.8,52.9,0
9/24/2021,70.6,50.8,0.01
9/23/2021,67.5,47.8,0
9/22/2021,68.8,51.2,0
9/21/2021,85.9,53.7,0
9/20/2021,81.8,51.8,0
9/19/2021,66.7,52.3,0.04
9/18/2021,70.4,53.4,0
9/17/2021,66.1,52.1,0
9/16/2021,66.4,51.9,0
9/15/2021,67.3,51.3,0
9/14/2021,69.6,44.9,0
9/13/2021,66.8,50.6,0
9/12/2021,67,46.6,0
9/11/2021,67.9,48.3,0
9/10/2021,70.6,51.8,0
9/9/2021,70.6,52.6,0
9/8/2021,75,52.4,0
9/7/2021,75.6,51.9,0
9/6/2021,72,47.5,0
9/5/2021,68.2,47.6,0
9/4/2021,67.9,50.2,0
9/3/2021,64.4,53.2,0
9/2/2021,67.5,54.7,0
9/1/2021,67.5,54.2,0
8/31/2021,68.5,50.6,0
8/30/2021,68.6,51.3,0
8/29/2021,68.2,53.2,0
8/28/2021,77.3,54.8,0
8/27/2021,78.7,51.6,0
8/26/2021,69.9,49.9,0
8/25/2021,65.6,52.3,0
8/24/2021,69.3,54.6,0
8/23/2021,67.6,52.4,0
8/22/2021,67.5,54.5,0
8/21/2021,68.2,55.6,0
8/20/2021,70.7,55.5,0
8/19/2021,71.9,55.6,0
8/18/2021,70.2,51.3,0
8/17/2021,67.4,56.1,0
8/16/2021,71.6,54.7,0
8/15/2021,68.7,54.4,0
8/14/2021,67.6,55,0
8/13/2021,72.4,52.8,0
8/12/2021,74.7,55,0
8/11/2021,68,51.6,0
8/10/2021,70.3,53.7,0
8/9/2021,71.3,51.7,0
8/8/2021,70.6,51.8,0
8/7/2021,68.2,51.5,0
8/6/2021,68.7,52.2,0
8/5/2021,66.6,54.1,0
8/4/2021,67.6,51.4,0
8/3/2021,68.7,49.5,0
8/2/2021,70.6,53.9,0
8/1/2021,70.4,54,0
7/31/2021,70.7,54.3,0
7/30/2021,70.3,53.2,0
7/29/2021,69.7,53.2,0
7/28/2021,67.2,52.6,0
7/27/2021,73.8,52.9,0
7/26/2021,70.9,52.3,0
7/25/2021,68.3,51.8,0
7/24/2021,66.2,50.3,0
7/23/2021,66.5,50,0
7/22/2021,65.2,50.2,0
7/21/2021,65.8,50.7,0
7/20/2021,64.8,50.8,0
7/19/2021,65.9,49.3,0
7/18/2021,65.8,48.3,0
7/17/2021,69.5,50.2,0
7/16/2021,63.2,49.9,0.01
7/15/2021,63.2,49.5,0
7/14/2021,65.9,50.8,0
7/13/2021,61.5,50.6,0
7/12/2021,62.7,50.3,0
7/11/2021,63.8,50.2,0
7/10/2021,69.5,51.1,0
7/9/2021,70,52.2,0
7/8/2021,68.3,49.5,0
7/7/2021,59.5,52.2,0.03
7/6/2021,64.2,51.6,0
7/5/2021,65.2,52,0.01
7/4/2021,67,51.8,0
7/3/2021,66.6,51.7,0.01
7/2/2021,65,53.8,0.01
7/1/2021,65.3,53.1,0.01
6/30/2021,64.7,54.6,0
6/29/2021,66.4,53.3,0
6/28/2021,64.7,52.4,0
6/27/2021,66.7,53,0
6/26/2021,65.9,52.2,0
6/25/2021,65.7,52.3,0
6/24/2021,66.5,55.1,0
6/23/2021,70,54.7,0
6/22/2021,67.6,56.1,0.01
6/21/2021,66.6,52.6,0
6/20/2021,68.8,50.9,0
6/19/2021,67.5,51.6,0
6/18/2021,76.8,50.3,0
6/17/2021,75.4,51.8,0
6/16/2021,72,49.5,0
6/15/2021,64.9,50.3,0
6/14/2021,67,54.3,0.02
6/13/2021,73,55.5,0
6/12/2021,71.4,55.6,0
6/11/2021,67.4,49.4,0
6/10/2021,61.9,49.8,0
6/9/2021,62,46.3,0
6/8/2021,62.9,50,0
6/7/2021,60.5,48.5,0
6/6/2021,62.9,45.5,0
6/5/2021,64.2,45.7,0
6/4/2021,61.8,50,0
6/3/2021,62.4,48.5,0
6/2/2021,61.9,47.6,0.01
6/1/2021,65.2,47.4,0
5/31/2021,73.4,47,0
5/30/2021,64.4,48.2,0
5/29/2021,52.1,48.3,0.03
5/28/2021,61.6,49.3,0
5/27/2021,63.8,46.8,0
5/26/2021,59.4,46.6,0
5/25/2021,59.2,47.5,0
5/24/2021,59.7,46.3,0
5/23/2021,60.9,48.1,0
5/22/2021,60.9,42.9,0
5/21/2021,57,41.9,0
5/20/2021,54.5,45.6,0
5/19/2021,56.6,47,0
5/18/2021,61.9,47.8,0
5/17/2021,57.5,48,0.03
5/16/2021,56.3,47.5,0
5/15/2021,54.3,47.2,0.09
5/14/2021,51.8,46.3,0.03
5/13/2021,58.3,46.5,0
5/12/2021,63.6,44.2,0
5/11/2021,60.8,43.5,0
5/10/2021,66,43.2,0
5/9/2021,64.4,46.8,0
5/8/2021,67.8,44.2,0
5/7/2021,57.5,44.3,0
5/6/2021,61.7,43,0
5/5/2021,60,43.6,0
5/4/2021,62.1,46.9,0
5/3/2021,68,45.2,0
5/2/2021,58.2,46.7,0
5/1/2021,55.9,48.6,0.04
4/30/2021,57.2,45.4,0.01
4/29/2021,59.4,42.7,0
4/28/2021,68.5,41.4,0
4/27/2021,64.4,43.9,0
4/26/2021,56.4,41.8,0
4/25/2021,55.1,45.4,0.07
4/24/2021,60.4,43.8,0
4/23/2021,55.3,46.4,0
4/22/2021,51.3,46.1,0
4/21/2021,53.6,46.4,0.01
4/20/2021,50.8,47.4,0.02
4/19/2021,56.3,45.5,0
4/18/2021,61.7,40.1,0
4/17/2021,56,44,0
4/16/2021,55.2,44.2,0
4/15/2021,58.6,37.5,0
4/14/2021,60.1,44.9,0
4/13/2021,54.7,45,0
4/12/2021,57.1,42.8,0
4/11/2021,59,44.2,0
4/10/2021,56.4,45,0
4/9/2021,53.1,44.3,0
4/8/2021,56,44.7,0
4/7/2021,54.2,45.9,0
4/6/2021,56.9,45.4,0
4/5/2021,52.7,45.8,0
4/4/2021,55.7,45.4,0
4/3/2021,56.7,43.3,0
4/2/2021,57.8,40.5,0
4/1/2021,75.8,51.2,0
3/31/2021,76.6,49,0
3/30/2021,75.9,44,0
3/29/2021,53.4,41.4,0
3/28/2021,58.4,42.4,0
3/27/2021,67.7,41.3,0
3/26/2021,67.7,39,0
3/25/2021,53.8,43.3,0.01
3/24/2021,60.7,46.3,0
3/23/2021,57.8,43.9,0
3/22/2021,54,45.9,0
3/21/2021,53.9,39,0
3/20/2021,54.7,45.7,0
3/19/2021,58.5,46.4,0
3/18/2021,57.8,46.6,0.27
3/17/2021,52.9,35.6,0
3/16/2021,51.7,35.7,0
3/15/2021,50,37.1,0
3/14/2021,54.4,42.8,0.44
3/13/2021,50.9,44.7,0
3/12/2021,57.4,41.7,0
3/11/2021,56.1,37.1,0
3/10/2021,54.3,41.2,0.15
3/9/2021,56.7,43.1,0.33
3/8/2021,56.3,43.5,0
3/7/2021,54.2,38.2,0
3/6/2021,52.9,42.1,0.02
3/5/2021,62.4,43.3,0.3
3/4/2021,60.4,40,0
3/3/2021,58.4,42.3,0
3/2/2021,59.4,39.8,0
3/1/2021,64.7,41,0
2/28/2021,66,41.5,0
2/27/2021,53.5,40.6,0
2/26/2021,52.9,43.8,0
2/25/2021,62.9,44.8,0
2/24/2021,62.4,45,0
2/23/2021,75.6,44.9,0
2/22/2021,73.1,50.7,0
2/21/2021,60,41.5,0
2/20/2021,52.6,41.5,0.01
2/19/2021,54.5,46.6,0.04
2/18/2021,60.4,38.9,0
2/17/2021,62.5,39.5,0
2/16/2021,52,44.9,0
2/15/2021,54.6,48.4,0.28
2/14/2021,56.1,47.1,0.12
2/13/2021,54.2,47.9,0.09
2/12/2021,54.4,47.5,0.01
2/11/2021,60.3,42.1,0.36
2/10/2021,60.2,44.2,0.01
2/9/2021,54.9,45.7,0
2/8/2021,53.2,37.3,0
2/7/2021,59.4,39.8,0
2/6/2021,64.9,43.1,0
2/5/2021,62.2,42.7,0
2/4/2021,58.9,40.1,0
2/3/2021,54.8,41.9,0
2/2/2021,56.7,46.1,0.34
2/1/2021,57.2,46,0.24
1/31/2021,63.7,46,0
1/30/2021,58.5,40.4,0
1/29/2021,54.2,39.1,0.12
1/28/2021,54.7,45.1,1.41
1/27/2021,52.3,46.6,0.63
1/26/2021,50.2,38,1.01
1/25/2021,48.7,43.5,0
1/24/2021,50.3,42.8,0.31
1/23/2021,52.8,40.8,0
1/22/2021,50.6,44,0.46
1/21/2021,53.4,40,0
1/20/2021,70.4,48.9,0
1/19/2021,65.3,51.1,0
1/18/2021,76,48,0
1/17/2021,79.1,49.5,0
1/16/2021,62.8,47,0
1/15/2021,77.3,47.7,0
1/14/2021,75.3,46.8,0
1/13/2021,70.8,48.7,0
1/12/2021,63.8,46.4,0
1/11/2021,61.6,43.4,0
1/10/2021,62.1,42.2,0
1/9/2021,62.4,44.1,0
1/8/2021,58.8,46.3,0
1/7/2021,63.8,44.4,0
1/6/2021,60.2,41.1,0
1/5/2021,55.3,41.5,0
1/4/2021,57,44.4,0.29
1/3/2021,56,43.6,0
1/2/2021,53.1,46.1,0.18
1/1/2021,56.4,41.5,0
12/31/2020,53.3,44.3,0.12
12/30/2020,54.8,36.3,0.05
12/29/2020,61.2,39,0
12/28/2020,54.7,42.6,0.07
12/27/2020,56.6,41.8,0
12/26/2020,55.9,44.4,0
12/25/2020,61.5,51.9,0.32
12/24/2020,67.7,46.7,0
12/23/2020,62.5,46.5,0
12/22/2020,58,44.6,0
12/21/2020,64.4,43,0
12/20/2020,63,40.9,0
12/19/2020,66.3,39.2,0
12/18/2020,62.4,41.8,0
12/17/2020,53.6,42.4,0.36
12/16/2020,60.2,42.4,0
12/15/2020,57.2,42.7,0
12/14/2020,53.5,41.1,0
12/13/2020,55.1,46.7,0.46
12/12/2020,60.2,47.6,0.17
12/11/2020,54.7,46.5,0.23
12/10/2020,60.4,46.9,0
12/9/2020,68.9,40.6,0
12/8/2020,74,48.2,0
12/7/2020,72.2,48.9,0
12/6/2020,60,43.3,0
12/5/2020,61.5,43.5,0
12/4/2020,67.1,44.7,0
12/3/2020,61.9,42.4,0
12/2/2020,62,43.5,0
12/1/2020,66.7,38,0
11/30/2020,61.2,38,0
11/29/2020,63.7,39.9,0
11/28/2020,64.2,40.6,0
11/27/2020,63.4,43.3,0
11/26/2020,62.5,40.3,0
11/25/2020,54,42.2,0.01
11/24/2020,61.7,42,0
11/23/2020,55.8,45.8,0.02
11/22/2020,57.5,44.6,0
11/21/2020,68.4,48.2,0
11/20/2020,67.4,50.4,0
11/19/2020,64.4,45.8,0.01
11/18/2020,59.3,49.4,0.18
11/17/2020,69,52.4,0.53
11/16/2020,77,49.7,0
11/15/2020,66.1,42.8,0
11/14/2020,60.9,43,0.01
11/13/2020,58,39.6,0.05
11/12/2020,59.6,41.4,0
11/11/2020,57,45.2,0
11/10/2020,58.6,38,0
11/9/2020,57.8,37.1,0
11/8/2020,52.1,38.7,0
11/7/2020,56.7,43.2,0.01
11/6/2020,58.6,46.7,0.25
11/5/2020,70.8,52.4,0
11/4/2020,73.7,47.5,0
11/3/2020,75.3,44.3,0
11/2/2020,75.2,44.9,0
11/1/2020,69.8,48.1,0
10/31/2020,68.8,46.6,0
10/30/2020,62.9,45.4,0
10/29/2020,62.7,49,0
10/28/2020,71.8,50.2,0
10/27/2020,73.3,51.2,0
10/26/2020,75.7,53.2,0
10/25/2020,65.1,49.7,0
10/24/2020,69.4,51.1,0
10/23/2020,67.6,50.8,0
10/22/2020,66.9,48.1,0
10/21/2020,67.4,52,0
10/20/2020,78.2,48.6,0
10/19/2020,67.8,49.8,0
10/18/2020,79.6,51.2,0
10/17/2020,82.8,62.5,0
10/16/2020,95.1,71.7,0
10/15/2020,95.1,71.8,0
10/14/2020,80.3,58.9,0
10/13/2020,79.3,55.9,0
10/12/2020,80.1,53.4,0
10/11/2020,75.7,53.3,0
10/10/2020,71.4,54.7,0
10/9/2020,69.3,53.8,0
10/8/2020,66,54.4,0
10/7/2020,62,49.6,0
10/6/2020,66,46,0.01
10/5/2020,66.1,47.7,0
10/4/2020,70.8,48.8,0
10/3/2020,71.8,49.6,0
10/2/2020,81.6,51.3,0
10/1/2020,84.4,62.9,0
9/30/2020,76.7,53.8,0
9/29/2020,66.5,51.3,0
9/28/2020,77.3,53.7,0
9/27/2020,94.5,55.2,0
9/26/2020,70.6,55,0
9/25/2020,67.6,57.1,0
9/24/2020,75.5,58,0
